2022-06-23 06:53:28 startup archives unpack
2022-06-23 06:53:28 install libjansson4:amd64 <none> 2.9-1
2022-06-23 06:53:28 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2022-06-23 06:53:29 status half-installed libjansson4:amd64 2.9-1
2022-06-23 06:53:29 status unpacked libjansson4:amd64 2.9-1
2022-06-23 06:53:29 status unpacked libjansson4:amd64 2.9-1
2022-06-23 06:53:29 install libmatheval1:amd64 <none> 1.1.11+dfsg-3
2022-06-23 06:53:29 status half-installed libmatheval1:amd64 1.1.11+dfsg-3
2022-06-23 06:53:30 status unpacked libmatheval1:amd64 1.1.11+dfsg-3
2022-06-23 06:53:30 status unpacked libmatheval1:amd64 1.1.11+dfsg-3
2022-06-23 06:53:30 install libpgm-5.2-0:amd64 <none> 5.2.122~dfsg-2
2022-06-23 06:53:30 status half-installed libpgm-5.2-0:amd64 5.2.122~dfsg-2
2022-06-23 06:53:30 status unpacked libpgm-5.2-0:amd64 5.2.122~dfsg-2
2022-06-23 06:53:30 status unpacked libpgm-5.2-0:amd64 5.2.122~dfsg-2
2022-06-23 06:53:30 install libsodium18:amd64 <none> 1.0.11-2
2022-06-23 06:53:30 status half-installed libsodium18:amd64 1.0.11-2
2022-06-23 06:53:30 status unpacked libsodium18:amd64 1.0.11-2
2022-06-23 06:53:30 status unpacked libsodium18:amd64 1.0.11-2
2022-06-23 06:53:30 install libzmq5:amd64 <none> 4.2.1-4+deb9u4
2022-06-23 06:53:30 status half-installed libzmq5:amd64 4.2.1-4+deb9u4
2022-06-23 06:53:30 status unpacked libzmq5:amd64 4.2.1-4+deb9u4
2022-06-23 06:53:31 status unpacked libzmq5:amd64 4.2.1-4+deb9u4
2022-06-23 06:53:31 install uwsgi-core:amd64 <none> 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:31 status half-installed uwsgi-core:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:31 status unpacked uwsgi-core:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:31 status unpacked uwsgi-core:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:31 install uwsgi-plugin-python:amd64 <none> 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:31 status half-installed uwsgi-plugin-python:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:31 status unpacked uwsgi-plugin-python:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:31 status unpacked uwsgi-plugin-python:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:31 startup packages configure
2022-06-23 06:53:31 configure libpgm-5.2-0:amd64 5.2.122~dfsg-2 <none>
2022-06-23 06:53:31 status unpacked libpgm-5.2-0:amd64 5.2.122~dfsg-2
2022-06-23 06:53:31 status half-configured libpgm-5.2-0:amd64 5.2.122~dfsg-2
2022-06-23 06:53:31 status installed libpgm-5.2-0:amd64 5.2.122~dfsg-2
2022-06-23 06:53:31 configure libjansson4:amd64 2.9-1 <none>
2022-06-23 06:53:31 status unpacked libjansson4:amd64 2.9-1
2022-06-23 06:53:31 status half-configured libjansson4:amd64 2.9-1
2022-06-23 06:53:32 status installed libjansson4:amd64 2.9-1
2022-06-23 06:53:32 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2022-06-23 06:53:32 status half-configured libc-bin:amd64 2.24-11+deb9u4
2022-06-23 06:53:32 status installed libc-bin:amd64 2.24-11+deb9u4
2022-06-23 06:53:32 configure libsodium18:amd64 1.0.11-2 <none>
2022-06-23 06:53:32 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2022-06-23 06:53:32 status unpacked libsodium18:amd64 1.0.11-2
2022-06-23 06:53:33 status half-configured libsodium18:amd64 1.0.11-2
2022-06-23 06:53:33 status installed libsodium18:amd64 1.0.11-2
2022-06-23 06:53:33 configure libmatheval1:amd64 1.1.11+dfsg-3 <none>
2022-06-23 06:53:33 status unpacked libmatheval1:amd64 1.1.11+dfsg-3
2022-06-23 06:53:33 status half-configured libmatheval1:amd64 1.1.11+dfsg-3
2022-06-23 06:53:33 status installed libmatheval1:amd64 1.1.11+dfsg-3
2022-06-23 06:53:33 configure libzmq5:amd64 4.2.1-4+deb9u4 <none>
2022-06-23 06:53:33 status unpacked libzmq5:amd64 4.2.1-4+deb9u4
2022-06-23 06:53:33 status half-configured libzmq5:amd64 4.2.1-4+deb9u4
2022-06-23 06:53:33 status installed libzmq5:amd64 4.2.1-4+deb9u4
2022-06-23 06:53:33 configure uwsgi-core:amd64 2.0.14+20161117-3+deb9u5 <none>
2022-06-23 06:53:33 status unpacked uwsgi-core:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:33 status half-configured uwsgi-core:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:33 status installed uwsgi-core:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:33 configure uwsgi-plugin-python:amd64 2.0.14+20161117-3+deb9u5 <none>
2022-06-23 06:53:33 status unpacked uwsgi-plugin-python:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:33 status half-configured uwsgi-plugin-python:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:33 status installed uwsgi-plugin-python:amd64 2.0.14+20161117-3+deb9u5
2022-06-23 06:53:33 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2022-06-23 06:53:33 status half-configured libc-bin:amd64 2.24-11+deb9u4
2022-06-23 06:53:33 status installed libc-bin:amd64 2.24-11+deb9u4
